unit,geo,year,value
GDP_BEUR,AT,2017 ,
GDP_BEUR,AU,2017 ,
GDP_BEUR,BE,2017 ,
GDP_BEUR,BG,2017 ,
GDP_BEUR,BR,2017 ,
GDP_BEUR,CA,2017 ,
GDP_BEUR,CH,2017 ,
GDP_BEUR,CY,2017 ,
GDP_BEUR,CZ,2017 ,
GDP_BEUR,DE,2017 ,
GDP_BEUR,DK,2017 ,
GDP_BEUR,EA18,2017 ,
GDP_BEUR,EE,2017 ,
GDP_BEUR,EL,2017 ,
GDP_BEUR,ES,2017 ,
GDP_BEUR,EU28,2017 ,
GDP_BEUR,FI,2017 ,
GDP_BEUR,FR,2017 ,
GDP_BEUR,HR,2017 ,
GDP_BEUR,HU,2017 ,
GDP_BEUR,IE,2017 ,
GDP_BEUR,IL,2017 ,
GDP_BEUR,IN,2017 ,
GDP_BEUR,IS,2017 ,
GDP_BEUR,IT,2017 ,
GDP_BEUR,JP,2017 ,
GDP_BEUR,KR,2017 ,
GDP_BEUR,LI,2017 ,
GDP_BEUR,LT,2017 ,
GDP_BEUR,LU,2017 ,
GDP_BEUR,LV,2017 ,
GDP_BEUR,MT,2017 ,
GDP_BEUR,MX,2017 ,
GDP_BEUR,NL,2017 ,
GDP_BEUR,NO,2017 ,
GDP_BEUR,NZ,2017 ,
GDP_BEUR,PL,2017 ,
GDP_BEUR,PT,2017 ,
GDP_BEUR,RO,2017 ,
GDP_BEUR,RU,2017 ,
GDP_BEUR,SE,2017 ,
GDP_BEUR,SI,2017 ,
GDP_BEUR,SK,2017 ,
GDP_BEUR,TR,2017 ,
GDP_BEUR,UK,2017 ,
GDP_BEUR,US,2017 ,
GDP_BEUR,ZA,2017 ,
MIO_PPS,AT,2017 ,
MIO_PPS,BE,2017 ,
MIO_PPS,BG,2017 ,
MIO_PPS,CH,2017 ,
MIO_PPS,CY,2017 ,
MIO_PPS,CZ,2017 ,
MIO_PPS,DE,2017 ,
MIO_PPS,DK,2017 ,
MIO_PPS,EA18,2017 ,
MIO_PPS,EE,2017 ,
MIO_PPS,EL,2017 ,
MIO_PPS,ES,2017 ,
MIO_PPS,EU28,2017 ,
MIO_PPS,FI,2017 ,
MIO_PPS,FR,2017 ,
MIO_PPS,HR,2017 ,
MIO_PPS,HU,2017 ,
MIO_PPS,IE,2017 ,
MIO_PPS,IS,2017 ,
MIO_PPS,IT,2017 ,
MIO_PPS,JP,2017 ,
MIO_PPS,LT,2017 ,
MIO_PPS,LU,2017 ,
MIO_PPS,LV,2017 ,
MIO_PPS,MT,2017 ,
MIO_PPS,NL,2017 ,
MIO_PPS,NO,2017 ,
MIO_PPS,PL,2017 ,
MIO_PPS,PT,2017 ,
MIO_PPS,RO,2017 ,
MIO_PPS,SE,2017 ,
MIO_PPS,SI,2017 ,
MIO_PPS,SK,2017 ,
MIO_PPS,TR,2017 ,
MIO_PPS,UK,2017 ,
MIO_PPS,US,2017 ,
NR,AT,2017 ,2029.62
NR,AU,2017 ,
NR,BE,2017 ,1655.44
NR,BG,2017 ,29.33
NR,BR,2017 ,
NR,CA,2017 ,
NR,CH,2017 ,
NR,CN_X_HK,2017 ,
NR,CY,2017 ,9.08
NR,CZ,2017 ,357.38
NR,DE,2017 ,18881.7
NR,DK,2017 ,1417.73
NR,EA18,2017 ,43549.64
NR,EA19,2017 ,43571.2
NR,EE,2017 ,36.31
NR,EL,2017 ,90.25
NR,ES,2017 ,1654.56
NR,EU27_2020,2017 ,49211.8
NR,EU28,2017 ,54648.82
NR,FI,2017 ,1296.99
NR,FR,2017 ,9502.67
NR,HK,2017 ,
NR,HR,2017 ,19.94
NR,HU,2017 ,196.77
NR,IE,2017 ,371.46
NR,IL,2017 ,
NR,IN,2017 ,
NR,IS,2017 ,
NR,IT,2017 ,4148.0
NR,JP,2017 ,
NR,KR,2017 ,
NR,LI,2017 ,
NR,LT,2017 ,21.57
NR,LU,2017 ,55.49
NR,LV,2017 ,22.26
NR,MT,2017 ,6.63
NR,MX,2017 ,
NR,NL,2017 ,3477.55
NR,NO,2017 ,
NR,NZ,2017 ,
NR,PL,2017 ,686.64
NR,PT,2017 ,142.23
NR,RO,2017 ,99.57
NR,RU,2017 ,
NR,SE,2017 ,2833.23
NR,SG,2017 ,
NR,SI,2017 ,114.25
NR,SK,2017 ,55.14
NR,TR,2017 ,
NR,TW,2017 ,
NR,UK,2017 ,5437.02
NR,US,2017 ,
NR,WORLD,2017 ,
NR,ZA,2017 ,
PPS_HAB,AT,2017 ,
PPS_HAB,BE,2017 ,
PPS_HAB,BG,2017 ,
PPS_HAB,CH,2017 ,
PPS_HAB,CY,2017 ,
PPS_HAB,CZ,2017 ,
PPS_HAB,DE,2017 ,
PPS_HAB,DK,2017 ,
PPS_HAB,EA18,2017 ,
PPS_HAB,EE,2017 ,
PPS_HAB,EL,2017 ,
PPS_HAB,ES,2017 ,
PPS_HAB,EU28,2017 ,
PPS_HAB,FI,2017 ,
PPS_HAB,FR,2017 ,
PPS_HAB,HR,2017 ,
PPS_HAB,HU,2017 ,
PPS_HAB,IE,2017 ,
PPS_HAB,IS,2017 ,
PPS_HAB,IT,2017 ,
PPS_HAB,JP,2017 ,
PPS_HAB,LT,2017 ,
PPS_HAB,LU,2017 ,
PPS_HAB,LV,2017 ,
PPS_HAB,MT,2017 ,
PPS_HAB,NL,2017 ,
PPS_HAB,NO,2017 ,
PPS_HAB,PL,2017 ,
PPS_HAB,PT,2017 ,
PPS_HAB,RO,2017 ,
PPS_HAB,SE,2017 ,
PPS_HAB,SI,2017 ,
PPS_HAB,SK,2017 ,
PPS_HAB,TR,2017 ,
PPS_HAB,UK,2017 ,
PPS_HAB,US,2017 ,
P_BERD,AT,2017 ,
P_BERD,BE,2017 ,
P_BERD,BG,2017 ,
P_BERD,CH,2017 ,
P_BERD,CN_X_HK,2017 ,
P_BERD,CY,2017 ,
P_BERD,CZ,2017 ,
P_BERD,DE,2017 ,
P_BERD,DK,2017 ,
P_BERD,EA19,2017 ,
P_BERD,EE,2017 ,
P_BERD,EL,2017 ,
P_BERD,ES,2017 ,
P_BERD,EU28,2017 ,
P_BERD,FI,2017 ,
P_BERD,FR,2017 ,
P_BERD,HR,2017 ,
P_BERD,HU,2017 ,
P_BERD,IE,2017 ,
P_BERD,IS,2017 ,
P_BERD,IT,2017 ,
P_BERD,JP,2017 ,
